BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3
true,246311,246311,246311,246311,true,139308,139308,139308,139308,true,123526,123526,123526,123526
true,667050,667050,667050,667050,true,505980,505980,505980,505980,true,414270,414270,414270,414270
true,104976,104976,104976,104976,true,71192,71192,71192,71192,true,71192,71192,71192,71192
true,153127,153127,153127,153127,true,140452,140452,140452,140452,true,140452,140452,140452,140452
true,103525,103525,103525,103525,true,103525,103525,103525,103525,true,103525,103525,103525,103525
true,262798,262798,262798,262798,true,209638,209638,209638,209638,true,209638,209638,209638,209638
true,732248,732248,732248,732248,true,582912,582912,582912,582912,true,582912,582912,582912,582912
true,274980,274980,274980,274980,true,173960,173960,173960,173960,true,173960,173960,173960,173960
true,444422,444422,444422,444422,true,315950,315950,315950,315950,true,291235,291235,291235,291235
true,222840,222840,222840,222840,true,145515,145515,145515,145515,true,145515,145515,145515,145515
true,216403,216403,216403,216403,true,129626,129626,155595,155595,true,101233,101233,101233,101233
true,127771,127771,127771,127771,true,78848,78848,78848,78848,true,78848,78848,78848,78848
true,66717,66717,66717,66717,true,66717,66717,66717,66717,true,66717,66717,66717,66717
true,76795,76795,76795,76795,true,76795,76795,76795,76795,true,76795,76795,76795,76795
true,168816,168816,168816,168816,true,150064,150064,150064,150064,true,150064,150064,150064,150064
true,95864,95864,95864,95864,true,55632,55632,55632,55632,true,55632,55632,55632,55632
true,331820,331820,331820,331820,true,295963,295963,295963,295963,true,295963,295963,295963,295963
true,96206,96206,96206,96206,true,77000,77000,77000,77000,true,77000,77000,77000,77000
true,301990,301990,301990,301990,true,206934,206934,206934,206934,true,158228,158228,158228,158228
true,111552,111552,111552,111552,true,62097,62097,62097,62097,true,62097,62097,62097,62097
true,88390,88390,88390,88390,true,70011,70011,70011,70011,true,70011,70011,70011,70011
true,395709,395709,395709,395709,true,312345,312345,312345,312345,true,312345,312345,312345,312345
true,269789,269789,269789,269789,true,238485,238485,242233,242233,true,234966,234966,234966,234966
true,148578,148578,148578,148578,true,94950,94950,94950,94950,true,94950,94950,94950,94950
true,177828,177828,177828,177828,true,159108,159108,159108,159108,true,159108,159108,159108,159108
true,324882,324882,324882,324882,true,252378,252378,252378,252378,true,206280,206280,206280,206280
true,120883,120883,120883,120883,true,113778,113778,113778,113778,true,113778,113778,113778,113778
true,694512,694512,694512,694512,true,455728,455728,455728,455728,true,298584,298584,298584,298584
true,173646,173646,173646,173646,true,111753,111753,111753,111753,true,111753,111753,111753,111753
true,174702,174702,174702,174702,true,109186,109186,109186,109186,true,109186,109186,109186,109186
true,200706,200706,200706,200706,true,134926,134926,134926,134926,true,134926,134926,134926,134926
true,151504,151504,151504,151504,true,125820,125820,125820,125820,true,125820,125820,125820,125820
true,148848,148848,148848,148848,true,86439,86439,101544,101544,true,73359,73359,73359,73359
true,107440,107440,107440,107440,true,95130,95130,95130,95130,true,95130,95130,95130,95130
true,354046,354046,354046,354046,true,262535,262535,267762,267762,true,236147,236147,236147,236147
true,222519,222519,222519,222519,true,171660,171660,171660,171660,true,171660,171660,171660,171660
true,294918,294918,294918,294918,true,294918,294918,294918,294918,true,294918,294918,294918,294918
true,188991,188991,188991,188991,true,99585,99585,99585,99585,true,99585,99585,99585,99585
