BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2
true,155508,155508,155508,155508,true,124416,124416,124416,124416
true,92912,92912,92912,92912,true,62160,62160,62160,62160
true,62520,62520,62520,62520,true,62520,62520,62520,62520
true,54020,54020,54020,54020,true,38890,38890,38890,38890
true,199672,199672,199672,199672,true,187220,187220,187220,187220
true,383211,383211,383211,383211,true,281372,281372,281372,281372
true,55341,55341,55341,55341,true,55341,55341,55341,55341
true,332176,332176,332176,332176,true,271622,271622,271622,271622
true,308261,308261,308261,308261,true,308261,308261,308261,308261
true,129672,129672,129672,129672,true,129672,129672,129672,129672
true,148120,148120,148120,148120,true,148120,148120,148120,148120
true,246992,246992,246992,246992,true,246992,246992,246992,246992
true,263344,263344,263344,263344,true,263344,263344,263344,263344
true,228508,228508,228508,228508,true,152475,152475,152475,152475
true,115056,115056,115056,115056,true,113620,113620,113620,113620
true,115368,115368,115368,115368,true,115368,115368,115368,115368
true,285648,285648,285648,285648,true,285648,285648,285648,285648
true,134030,134030,134030,134030,true,116350,116350,116350,116350
true,66474,66474,66474,66474,true,56286,56286,56286,56286
true,286020,286020,286020,286020,true,189396,189396,189396,189396
true,261828,261828,261828,261828,true,261828,261828,261828,261828
true,283504,283504,283504,283504,true,273847,273847,273847,273847
true,67525,67525,67525,67525,true,67525,67525,67525,67525
true,387576,387576,387576,387576,true,318192,318192,318192,318192
true,190170,190170,190170,190170,true,131865,131865,131865,131865
true,179383,179383,179383,179383,true,165376,165376,165376,165376
true,232940,232940,232940,232940,true,140809,140809,140809,140809
true,77518,77518,77518,77518,true,60522,60522,60522,60522
true,435798,435798,435798,435798,true,292446,292446,292446,292446
true,287376,287376,287376,287376,true,171344,171344,171344,171344
true,261915,261915,261915,261915,true,166003,166003,166003,166003
true,239600,239600,239600,239600,true,183880,183880,183880,183880
true,74055,74055,74055,74055,true,43896,43896,43896,43896
true,145800,145800,145800,145800,true,77025,77025,77025,77025
true,177680,177680,177680,177680,true,167616,167616,167616,167616
true,233801,233801,233801,233801,true,226798,226798,226798,226798
true,153950,153950,153950,153950,true,98260,98260,98260,98260
true,106612,106612,106612,106612,true,95706,95706,95706,95706
true,382996,382996,382996,382996,true,382996,382996,382996,382996
true,320415,320415,320415,320415,true,313698,313698,313698,313698
true,135088,135088,135088,135088,true,135088,135088,135088,135088
true,385880,385880,385880,385880,true,383130,383130,383130,383130
true,85680,85680,85680,85680,true,46368,46368,46368,46368
true,217294,217294,217294,217294,true,217294,217294,217294,217294
true,52090,52090,52090,52090,true,42150,42150,42150,42150
true,191304,191304,191304,191304,true,172440,172440,172440,172440
true,239883,239883,239883,239883,true,197043,197043,197043,197043
true,137412,137412,137412,137412,true,137412,137412,137412,137412
true,115710,115710,115710,115710,true,85490,85490,85490,85490
true,294440,294440,294440,294440,true,294440,294440,294440,294440
true,34645,34645,34645,34645,true,34645,34645,34645,34645
true,129730,129730,129730,129730,true,90520,90520,90520,90520
true,160512,160512,160512,160512,true,160512,160512,160512,160512
true,306489,306489,306489,306489,true,203680,203680,203680,203680
true,89754,89754,89754,89754,true,80108,80108,80108,80108
true,433197,433197,433197,433197,true,288390,288390,288390,288390
true,154294,154294,154294,154294,true,130872,130872,130872,130872
true,96741,96741,96741,96741,true,67167,67167,67167,67167
true,80660,80660,80660,80660,true,57140,57140,57140,57140
true,247080,247080,247080,247080,true,179880,179880,179880,179880
true,169264,169264,169264,169264,true,140656,140656,140656,140656
true,400728,400728,400728,400728,true,259811,259811,259811,259811
true,151476,151476,151476,151476,true,110019,110019,110019,110019
true,74720,74720,74720,74720,true,55056,55056,55056,55056
true,397872,397872,397872,397872,true,288072,288072,288072,288072
true,176035,176035,176035,176035,true,127585,127585,127585,127585
true,73332,73332,73332,73332,true,52872,52872,52872,52872
true,65664,65664,65664,65664,true,41427,41427,41427,41427
true,465972,465972,465972,465972,true,448461,448461,448461,448461
