BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5
true,412832,412832,412832,412832,true,222516,222516,222516,222516,true,197120,197120,197120,197120,true,178514,178514,178514,178514,true,178514,178514,178514,178514
true,117000,117000,117000,117000,true,102747,102747,102747,102747,true,100192,100192,100192,100192,true,100192,100192,100192,100192,true,100192,100192,100192,100192
true,271700,271700,271700,271700,true,149370,149720,197710,197710,true,114010,114010,130990,130990,true,114010,114010,114010,114010,true,114010,114010,114010,114010
true,307073,307073,307073,307073,true,225420,225420,225420,225420,true,225420,225420,225420,225420,true,225420,225420,225420,225420,true,225420,225420,225420,225420
true,156520,156520,156520,156520,true,120460,120460,120460,120460,true,104520,104520,104520,104520,true,104520,104520,104520,104520,true,104520,104520,104520,104520
true,744832,744832,744832,744832,true,443540,458736,513304,513304,true,363150,368740,408408,408408,true,298396,298396,372152,372152,true,298396,298396,298396,298396
true,623826,623826,623826,623826,true,342552,342552,342552,342552,true,311223,316575,327945,327945,true,305478,305478,308721,308721,true,305478,305478,305478,305478
true,674633,674633,674633,674633,true,392920,392920,392920,392920,true,360672,360672,360672,360672,true,360672,360672,360672,360672,true,360672,360672,360672,360672
true,201460,201460,201460,201460,true,166850,166850,166850,166850,true,166850,166850,166850,166850,true,166850,166850,166850,166850,true,166850,166850,166850,166850
true,153832,153832,153832,153832,true,101792,101792,109584,109584,true,93764,93764,93764,93764,true,93764,93764,93764,93764,true,93764,93764,93764,93764
true,546850,546850,546850,546850,true,381953,381953,453420,453420,true,353943,353943,353943,353943,true,353943,353943,353943,353943,true,353943,353943,353943,353943
true,198121,198121,198121,198121,true,168791,168791,168791,168791,true,160110,160110,160110,160110,true,160110,160110,160110,160110,true,160110,160110,160110,160110
true,124160,124160,124160,124160,true,79905,79905,79905,79905,true,79905,79905,79905,79905,true,79905,79905,79905,79905,true,79905,79905,79905,79905
true,371775,371775,371775,371775,true,241975,250272,267480,267480,true,219325,219325,219325,219325,true,219325,219325,219325,219325,true,219325,219325,219325,219325
true,128736,128736,128736,128736,true,112038,112038,112932,112932,true,112038,112038,112038,112038,true,112038,112038,112038,112038,true,112038,112038,112038,112038
true,315250,315250,315250,315250,true,182286,182286,182286,182286,true,151866,151866,151866,151866,true,151866,151866,151866,151866,true,151866,151866,151866,151866
true,530760,530760,530760,530760,true,397898,397898,397898,397898,true,375840,375840,375840,375840,true,375840,375840,375840,375840,true,375840,375840,375840,375840
true,220216,220216,220216,220216,true,180584,180584,180584,180584,true,180584,180584,180584,180584,true,180584,180584,180584,180584,true,180584,180584,180584,180584
true,431140,431140,431140,431140,true,243880,243880,243880,243880,true,194393,196443,216426,216426,true,185771,194393,194393,194393,true,185771,185771,185771,185771
true,271664,271664,271664,271664,true,158224,158224,176868,176868,true,140029,140029,158224,158224,true,140029,140029,140029,140029,true,140029,140029,140029,140029
true,394410,394410,394410,394410,true,249495,249495,249495,249495,true,222552,222552,222552,222552,true,222552,222552,222552,222552,true,222552,222552,222552,222552
true,616240,616240,616240,616240,true,350340,399160,399160,399160,true,275040,275040,275040,275040,true,275040,275040,275040,275040,true,275040,275040,275040,275040
