BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4
true,175280,175280,175280,175280,true,120304,120304,120304,120304,true,120304,120304,120304,120304,true,120304,120304,120304,120304
true,115015,115015,115015,115015,true,115015,115015,115015,115015,true,115015,115015,115015,115015,true,115015,115015,115015,115015
true,582544,582544,582544,582544,true,377910,377910,426898,426898,true,369648,369648,369648,369648,true,369648,369648,369648,369648
true,202005,202005,202005,202005,true,122427,122427,122427,122427,true,115680,115680,115680,115680,true,115680,115680,115680,115680
true,106610,106610,106610,106610,true,82950,82950,88641,88641,true,82950,82950,82950,82950,true,82950,82950,82950,82950
true,691250,691250,691250,691250,true,431100,431100,500625,500625,true,358530,378490,407344,407344,true,358530,358530,358530,358530
true,109880,109880,109880,109880,true,71145,71145,71145,71145,true,69992,69992,69992,69992,true,69992,69992,69992,69992
true,570809,570809,570809,570809,true,422196,422436,447712,447712,true,325890,325890,325890,325890,true,300614,300614,300614,300614
true,775860,775860,775860,775860,true,484170,509730,509730,509730,true,384219,384219,384219,384219,true,384219,384219,384219,384219
true,430528,430528,430528,430528,true,365960,365960,365960,365960,true,365960,365960,365960,365960,true,365960,365960,365960,365960
true,209430,209430,209430,209430,true,209430,209430,209430,209430,true,209430,209430,209430,209430,true,209430,209430,209430,209430
true,747700,747700,747700,747700,true,430582,431640,523986,523986,true,374440,374440,430582,430582,true,279202,279202,279202,279202
true,223245,223245,223245,223245,true,163845,163845,163845,163845,true,163845,163845,163845,163845,true,163845,163845,163845,163845
true,175126,175126,175126,175126,true,129675,129675,129675,129675,true,129675,129675,129675,129675,true,129675,129675,129675,129675
true,93065,93065,93065,93065,true,79030,79030,79030,79030,true,79030,79030,79030,79030,true,79030,79030,79030,79030
true,171755,171755,171755,171755,true,132000,132000,132000,132000,true,132000,132000,132000,132000,true,132000,132000,132000,132000
true,337037,337037,337037,337037,true,206916,211881,264920,264920,true,200958,200958,215460,215460,true,200958,200958,200958,200958
true,142475,142475,142475,142475,true,142475,142475,142475,142475,true,142475,142475,142475,142475,true,142475,142475,142475,142475
