BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7,BnB_BnB/8/finished,BnB_BnB/8,BnB_List/8,DP/8,DP_BnB/8
true,253491,253491,253491,253491,true,129157,129157,139043,139043,true,107688,107688,123291,123291,true,107688,107688,107688,107688,true,107688,107688,107688,107688,true,107688,107688,107688,107688,true,107688,107688,107688,107688,true,107688,107688,107688,107688
true,218050,218050,218050,218050,true,118419,119364,122024,122024,true,102690,102690,106736,106736,true,102690,102690,102690,102690,true,102690,102690,102690,102690,true,102690,102690,102690,102690,true,102690,102690,102690,102690,true,102690,102690,102690,102690
true,211225,211225,211225,211225,true,125398,127060,153680,153680,true,94716,105740,111403,111403,true,84783,84783,84783,84783,true,84783,84783,84783,84783,true,84783,84783,84783,84783,true,84783,84783,84783,84783,true,84783,84783,84783,84783
true,1095696,1095696,1095696,1095696,true,687855,687855,780735,780735,true,534870,534870,548352,548352,false,464904,480032,493582,493582,false,439929,439929,480032,480032,true,439929,439929,439929,439929,true,439929,439929,439929,439929,true,439929,439929,439929,439929
true,281715,281715,281715,281715,true,148659,159600,164290,164290,true,117067,117846,132202,132202,true,116721,116721,118827,118827,true,116721,116721,116721,116721,true,116721,116721,116721,116721,true,116721,116721,116721,116721,true,116721,116721,116721,116721
true,401120,401120,401120,401120,true,280487,280487,327480,327480,true,238295,248200,260024,260024,false,226992,226992,226992,226992,true,226992,226992,226992,226992,true,226992,226992,226992,226992,true,226992,226992,226992,226992,true,226992,226992,226992,226992
true,650672,650672,650672,650672,true,453664,453664,493677,493677,true,384732,384732,384912,384912,true,384732,384732,384732,384732,true,384732,384732,384732,384732,true,384732,384732,384732,384732,true,384732,384732,384732,384732,true,384732,384732,384732,384732
true,225120,225120,225120,225120,true,148375,148375,161940,161940,true,121059,121059,134624,134624,false,120500,120500,121059,121059,true,120500,120500,120500,120500,true,120500,120500,120500,120500,true,120500,120500,120500,120500,true,120500,120500,120500,120500
true,282036,282036,282036,282036,true,158298,158298,158298,158298,false,117858,117858,133252,133252,false,97281,97281,104478,104478,true,94782,94782,97281,97281,true,94782,94782,94782,94782,true,94782,94782,94782,94782,true,94782,94782,94782,94782
true,362406,362406,362406,362406,true,254815,254815,254815,254815,true,230265,233486,233486,233486,true,230265,230265,230265,230265,true,230265,230265,230265,230265,true,230265,230265,230265,230265,true,230265,230265,230265,230265,true,230265,230265,230265,230265
true,879540,879540,879540,879540,true,637550,637550,667755,667755,false,556768,556768,572915,572915,false,485893,485893,512190,512190,false,471690,471690,471690,471690,true,471690,471690,471690,471690,true,471690,471690,471690,471690,true,471690,471690,471690,471690
true,330624,330624,330624,330624,true,174356,174356,174356,174356,true,148015,148015,157717,157717,true,137368,137368,148015,148015,true,137368,137368,137368,137368,true,137368,137368,137368,137368,true,137368,137368,137368,137368,true,137368,137368,137368,137368
true,488824,488824,488824,488824,true,352968,352968,404124,404124,true,299635,299635,327975,327975,true,299635,299635,299635,299635,true,299635,299635,299635,299635,true,299635,299635,299635,299635,true,299635,299635,299635,299635,true,299635,299635,299635,299635
true,424359,424359,424359,424359,false,247169,247311,247311,247311,false,178488,185421,190908,190908,false,175316,175316,175316,175316,true,175316,175316,175316,175316,true,175316,175316,175316,175316,true,175316,175316,175316,175316,true,175316,175316,175316,175316
true,1764268,1764268,1764268,1764268,true,984299,999135,1127975,1127975,false,745045,745770,771533,771533,false,651998,651998,704340,704340,true,577551,577551,577551,577551,true,577551,577551,577551,577551,true,577551,577551,577551,577551,true,577551,577551,577551,577551
true,296032,296032,296032,296032,true,240876,240876,253936,253936,true,204256,210944,213652,213652,true,187272,189348,189348,189348,true,187272,187272,189348,189348,true,187272,187272,187272,187272,true,187272,187272,187272,187272,true,187272,187272,187272,187272
true,739296,739296,739296,739296,true,503490,503490,510690,510690,true,422775,422775,422775,422775,false,374171,377010,377010,377010,false,342690,342690,349890,349890,true,342690,342690,342690,342690,true,342690,342690,342690,342690,true,342690,342690,342690,342690
true,338112,338112,338112,338112,true,181980,189182,189816,189816,false,158316,158316,164136,164136,false,130765,130765,132046,132046,true,130765,130765,130765,130765,true,130765,130765,130765,130765,true,130765,130765,130765,130765,true,130765,130765,130765,130765
true,459610,459610,459610,459610,true,321516,321516,352036,352036,true,281090,281090,303466,303466,true,274233,274233,280166,280166,true,271240,271240,271240,271240,true,271240,271240,271240,271240,true,271240,271240,271240,271240,true,271240,271240,271240,271240
true,327798,327798,327798,327798,true,188787,188787,229788,229788,true,145980,145980,153000,153000,false,137685,138861,145980,145980,true,131858,131858,138861,138861,true,131858,131858,131858,131858,true,131858,131858,131858,131858,true,131858,131858,131858,131858
true,370776,370776,370776,370776,true,197820,197820,226758,226758,true,178341,178341,178341,178341,true,178341,178341,178341,178341,true,178341,178341,178341,178341,true,178341,178341,178341,178341,true,178341,178341,178341,178341,true,178341,178341,178341,178341
true,386120,386120,386120,386120,true,230046,230893,251100,251100,false,167690,167690,181030,181030,false,153273,153273,167202,167202,true,153273,153273,155176,155176,true,153273,153273,153273,153273,true,153273,153273,153273,153273,true,153273,153273,153273,153273
true,342536,342536,342536,342536,true,193872,194752,216328,216328,true,163392,163392,178704,178704,true,163392,163392,163392,163392,true,163392,163392,163392,163392,true,163392,163392,163392,163392,true,163392,163392,163392,163392,true,163392,163392,163392,163392
true,299033,299033,299033,299033,true,175958,176172,200364,200364,true,132229,132229,173411,173411,false,119085,119085,128618,128618,true,119085,119085,119085,119085,true,119085,119085,119085,119085,true,119085,119085,119085,119085,true,119085,119085,119085,119085
true,511690,511690,511690,511690,true,276255,283250,321215,321215,true,196690,196690,219515,219515,true,179440,179440,179440,179440,true,179440,179440,179440,179440,true,179440,179440,179440,179440,true,179440,179440,179440,179440,true,179440,179440,179440,179440
