BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1
true,352684,352684,352684,352684
true,187680,187680,187680,187680
true,230040,230040,230040,230040
true,31479,31479,31479,31479
true,159181,159181,159181,159181
true,268686,268686,268686,268686
true,59670,59670,59670,59670
true,248302,248302,248302,248302
true,116016,116016,116016,116016
true,51794,51794,51794,51794
true,127764,127764,127764,127764
true,35594,35594,35594,35594
true,152386,152386,152386,152386
true,183183,183183,183183,183183
true,94297,94297,94297,94297
true,36396,36396,36396,36396
true,85170,85170,85170,85170
true,42720,42720,42720,42720
true,57043,57043,57043,57043
true,158598,158598,158598,158598
true,27584,27584,27584,27584
true,219360,219360,219360,219360
true,115401,115401,115401,115401
true,9390,9390,9390,9390
true,125457,125457,125457,125457
true,35460,35460,35460,35460
true,66766,66766,66766,66766
true,25020,25020,25020,25020
true,50060,50060,50060,50060
true,28435,28435,28435,28435
true,50295,50295,50295,50295
true,88452,88452,88452,88452
true,39205,39205,39205,39205
true,30112,30112,30112,30112
true,34257,34257,34257,34257
true,161405,161405,161405,161405
true,197333,197333,197333,197333
true,122549,122549,122549,122549
true,116608,116608,116608,116608
true,85662,85662,85662,85662
true,227216,227216,227216,227216
true,133484,133484,133484,133484
true,70983,70983,70983,70983
true,46224,46224,46224,46224
true,82008,82008,82008,82008
true,27247,27247,27247,27247
true,139040,139040,139040,139040
true,25443,25443,25443,25443
true,94220,94220,94220,94220
true,46704,46704,46704,46704
true,94716,94716,94716,94716
true,57267,57267,57267,57267
true,122370,122370,122370,122370
true,60180,60180,60180,60180
true,45210,45210,45210,45210
true,114678,114678,114678,114678
true,427371,427371,427371,427371
true,143244,143244,143244,143244
true,257712,257712,257712,257712
true,269724,269724,269724,269724
true,376200,376200,376200,376200
true,297275,297275,297275,297275
true,26445,26445,26445,26445
true,47432,47432,47432,47432
true,208608,208608,208608,208608
true,21571,21571,21571,21571
true,168048,168048,168048,168048
true,37289,37289,37289,37289
true,90660,90660,90660,90660
true,62325,62325,62325,62325
true,304465,304465,304465,304465
true,44448,44448,44448,44448
true,73365,73365,73365,73365
true,12112,12112,12112,12112
true,44124,44124,44124,44124
true,49230,49230,49230,49230
true,41902,41902,41902,41902
true,159912,159912,159912,159912
true,144704,144704,144704,144704
true,90022,90022,90022,90022
true,126196,126196,126196,126196
true,25390,25390,25390,25390
true,52236,52236,52236,52236
true,89125,89125,89125,89125
true,47675,47675,47675,47675
true,61872,61872,61872,61872
true,68310,68310,68310,68310
true,35302,35302,35302,35302
true,121226,121226,121226,121226
true,58230,58230,58230,58230
true,59720,59720,59720,59720
true,332010,332010,332010,332010
true,148490,148490,148490,148490
true,84537,84537,84537,84537
true,177514,177514,177514,177514
true,82911,82911,82911,82911
true,162336,162336,162336,162336
true,100966,100966,100966,100966
true,131586,131586,131586,131586
true,18740,18740,18740,18740
true,34892,34892,34892,34892
true,293238,293238,293238,293238
true,33040,33040,33040,33040
true,18522,18522,18522,18522
true,133496,133496,133496,133496
true,190404,190404,190404,190404
true,43272,43272,43272,43272
true,75361,75361,75361,75361
true,39153,39153,39153,39153
true,44694,44694,44694,44694
true,250479,250479,250479,250479
true,93886,93886,93886,93886
true,124984,124984,124984,124984
true,328440,328440,328440,328440
true,143505,143505,143505,143505
true,74610,74610,74610,74610
true,157557,157557,157557,157557
true,15509,15509,15509,15509
true,81270,81270,81270,81270
true,40704,40704,40704,40704
true,95729,95729,95729,95729
true,18144,18144,18144,18144
true,101024,101024,101024,101024
true,129516,129516,129516,129516
true,67711,67711,67711,67711
true,48258,48258,48258,48258
true,120344,120344,120344,120344
true,286722,286722,286722,286722
true,60940,60940,60940,60940
true,149226,149226,149226,149226
true,100079,100079,100079,100079
true,35648,35648,35648,35648
true,46251,46251,46251,46251
true,82314,82314,82314,82314
true,7445,7445,7445,7445
true,23946,23946,23946,23946
true,377676,377676,377676,377676
true,131794,131794,131794,131794
true,82310,82310,82310,82310
true,11208,11208,11208,11208
true,194066,194066,194066,194066
true,117782,117782,117782,117782
true,36840,36840,36840,36840
true,63952,63952,63952,63952
true,98002,98002,98002,98002
true,35622,35622,35622,35622
true,121780,121780,121780,121780
true,128610,128610,128610,128610
true,14844,14844,14844,14844
true,135930,135930,135930,135930
true,58788,58788,58788,58788
true,98250,98250,98250,98250
true,201300,201300,201300,201300
true,80110,80110,80110,80110
true,56892,56892,56892,56892
true,107163,107163,107163,107163
true,90032,90032,90032,90032
true,86967,86967,86967,86967
true,265572,265572,265572,265572
true,130544,130544,130544,130544
true,172414,172414,172414,172414
true,40526,40526,40526,40526
true,201410,201410,201410,201410
true,245601,245601,245601,245601
true,164473,164473,164473,164473
true,23220,23220,23220,23220
true,172766,172766,172766,172766
true,218457,218457,218457,218457
true,44470,44470,44470,44470
true,70902,70902,70902,70902
true,65588,65588,65588,65588
true,7122,7122,7122,7122
true,95550,95550,95550,95550
true,123500,123500,123500,123500
true,70480,70480,70480,70480
true,98469,98469,98469,98469
true,79146,79146,79146,79146
true,96672,96672,96672,96672
true,197208,197208,197208,197208
true,79914,79914,79914,79914
true,44592,44592,44592,44592
true,88621,88621,88621,88621
true,30978,30978,30978,30978
true,112567,112567,112567,112567
true,91675,91675,91675,91675
true,48834,48834,48834,48834
true,87698,87698,87698,87698
true,31048,31048,31048,31048
true,314748,314748,314748,314748
true,64022,64022,64022,64022
true,232220,232220,232220,232220
true,27285,27285,27285,27285
true,256260,256260,256260,256260
true,55146,55146,55146,55146
true,165165,165165,165165,165165
true,54342,54342,54342,54342
true,45990,45990,45990,45990
true,44346,44346,44346,44346
true,66582,66582,66582,66582
true,130518,130518,130518,130518
true,251446,251446,251446,251446
true,194735,194735,194735,194735
true,219240,219240,219240,219240
true,36785,36785,36785,36785
true,172811,172811,172811,172811
true,217906,217906,217906,217906
true,15072,15072,15072,15072
true,208448,208448,208448,208448
true,102630,102630,102630,102630
true,144858,144858,144858,144858
true,74310,74310,74310,74310
true,18685,18685,18685,18685
true,450408,450408,450408,450408
true,22572,22572,22572,22572
true,44145,44145,44145,44145
true,124488,124488,124488,124488
true,68040,68040,68040,68040
true,141372,141372,141372,141372
true,40278,40278,40278,40278
true,16907,16907,16907,16907
true,201663,201663,201663,201663
true,261576,261576,261576,261576
true,32266,32266,32266,32266
true,78070,78070,78070,78070
true,40195,40195,40195,40195
true,77760,77760,77760,77760
true,29428,29428,29428,29428
true,279860,279860,279860,279860
true,131486,131486,131486,131486
true,227632,227632,227632,227632
true,353535,353535,353535,353535
true,110616,110616,110616,110616
true,7112,7112,7112,7112
true,47772,47772,47772,47772
true,59880,59880,59880,59880
true,381459,381459,381459,381459
true,97476,97476,97476,97476
true,166075,166075,166075,166075
true,301200,301200,301200,301200
true,17073,17073,17073,17073
true,84214,84214,84214,84214
true,271830,271830,271830,271830
true,126891,126891,126891,126891
true,109994,109994,109994,109994
true,148688,148688,148688,148688
true,307125,307125,307125,307125
true,133800,133800,133800,133800
true,19936,19936,19936,19936
true,205416,205416,205416,205416
true,64812,64812,64812,64812
true,93636,93636,93636,93636
true,178488,178488,178488,178488
true,136363,136363,136363,136363
true,86086,86086,86086,86086
true,178392,178392,178392,178392
true,127280,127280,127280,127280
true,17145,17145,17145,17145
true,58464,58464,58464,58464
true,39330,39330,39330,39330
true,149431,149431,149431,149431
true,357630,357630,357630,357630
true,289938,289938,289938,289938
true,40392,40392,40392,40392
true,280175,280175,280175,280175
true,182854,182854,182854,182854
true,11885,11885,11885,11885
true,119868,119868,119868,119868
true,24948,24948,24948,24948
true,119490,119490,119490,119490
true,57510,57510,57510,57510
true,102768,102768,102768,102768
true,168924,168924,168924,168924
true,35810,35810,35810,35810
true,161308,161308,161308,161308
true,65830,65830,65830,65830
true,48375,48375,48375,48375
true,25008,25008,25008,25008
true,236425,236425,236425,236425
true,256662,256662,256662,256662
true,14624,14624,14624,14624
true,156077,156077,156077,156077
true,188646,188646,188646,188646
true,240405,240405,240405,240405
true,127776,127776,127776,127776
true,23220,23220,23220,23220
true,158392,158392,158392,158392
true,308088,308088,308088,308088
true,20450,20450,20450,20450
true,175140,175140,175140,175140
true,44550,44550,44550,44550
true,122496,122496,122496,122496
true,196251,196251,196251,196251
true,57841,57841,57841,57841
true,45045,45045,45045,45045
true,95368,95368,95368,95368
true,140850,140850,140850,140850
true,57750,57750,57750,57750
true,94149,94149,94149,94149
true,222612,222612,222612,222612
true,85618,85618,85618,85618
true,58590,58590,58590,58590
true,148143,148143,148143,148143
true,271530,271530,271530,271530
true,73002,73002,73002,73002
true,186075,186075,186075,186075
true,59988,59988,59988,59988
true,157675,157675,157675,157675
true,53746,53746,53746,53746
true,31536,31536,31536,31536
true,40607,40607,40607,40607
true,182040,182040,182040,182040
true,27620,27620,27620,27620
true,240520,240520,240520,240520
true,44739,44739,44739,44739
true,54747,54747,54747,54747
true,135926,135926,135926,135926
true,245250,245250,245250,245250
true,234384,234384,234384,234384
true,9900,9900,9900,9900
true,120408,120408,120408,120408
true,48357,48357,48357,48357
true,138757,138757,138757,138757
true,373312,373312,373312,373312
true,30321,30321,30321,30321
true,78570,78570,78570,78570
true,38045,38045,38045,38045
true,57912,57912,57912,57912
true,192712,192712,192712,192712
true,144914,144914,144914,144914
true,186240,186240,186240,186240
true,152247,152247,152247,152247
true,224706,224706,224706,224706
true,26194,26194,26194,26194
true,161325,161325,161325,161325
true,17339,17339,17339,17339
true,44418,44418,44418,44418
true,148525,148525,148525,148525
true,45792,45792,45792,45792
true,67536,67536,67536,67536
true,36627,36627,36627,36627
true,31175,31175,31175,31175
true,106392,106392,106392,106392
true,38665,38665,38665,38665
true,234042,234042,234042,234042
true,92370,92370,92370,92370
true,19260,19260,19260,19260
true,104559,104559,104559,104559
true,72228,72228,72228,72228
true,12859,12859,12859,12859
true,131595,131595,131595,131595
true,25319,25319,25319,25319
true,150016,150016,150016,150016
true,22256,22256,22256,22256
true,132765,132765,132765,132765
true,88668,88668,88668,88668
true,42264,42264,42264,42264
true,288192,288192,288192,288192
true,81994,81994,81994,81994
true,326375,326375,326375,326375
true,122822,122822,122822,122822
true,75488,75488,75488,75488
true,31430,31430,31430,31430
true,128250,128250,128250,128250
true,34190,34190,34190,34190
true,272096,272096,272096,272096
true,21371,21371,21371,21371
true,311320,311320,311320,311320
true,71841,71841,71841,71841
true,185497,185497,185497,185497
true,186375,186375,186375,186375
true,282162,282162,282162,282162
true,44840,44840,44840,44840
true,68472,68472,68472,68472
true,219240,219240,219240,219240
true,147488,147488,147488,147488
true,52768,52768,52768,52768
true,288444,288444,288444,288444
true,55937,55937,55937,55937
true,65030,65030,65030,65030
true,46896,46896,46896,46896
true,343385,343385,343385,343385
true,129394,129394,129394,129394
true,100832,100832,100832,100832
true,151392,151392,151392,151392
true,118860,118860,118860,118860
true,118558,118558,118558,118558
true,44976,44976,44976,44976
true,50008,50008,50008,50008
true,92280,92280,92280,92280
true,53424,53424,53424,53424
true,7620,7620,7620,7620
true,66920,66920,66920,66920
true,208390,208390,208390,208390
true,51374,51374,51374,51374
true,46656,46656,46656,46656
true,152823,152823,152823,152823
true,124352,124352,124352,124352
