BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6
true,671952,671952,671952,671952,true,358048,375728,375728,375728,true,300916,300916,307888,307888,true,253076,253076,264292,264292,true,219872,219872,219872,219872,true,219872,219872,219872,219872
true,639421,639421,639421,639421,true,375468,388688,425322,425322,true,289261,293364,330220,330220,true,250579,252199,278421,278421,true,230620,230620,230620,230620,true,230620,230620,230620,230620
true,181938,181938,181938,181938,true,109470,109470,115446,115446,true,88480,88480,88480,88480,true,88480,88480,88480,88480,true,88480,88480,88480,88480,true,88480,88480,88480,88480
true,350424,350424,350424,350424,true,188702,191683,208410,208410,true,138438,143388,138438,138438,true,138438,138438,138438,138438,true,138438,138438,138438,138438,true,138438,138438,138438,138438
true,146215,146215,146215,146215,true,112260,112260,128030,128030,true,112260,112260,112260,112260,true,112260,112260,112260,112260,true,112260,112260,112260,112260,true,112260,112260,112260,112260
true,174600,174600,174600,174600,true,151386,151386,151386,151386,true,151386,151386,151386,151386,true,151386,151386,151386,151386,true,151386,151386,151386,151386,true,151386,151386,151386,151386
true,361163,361163,361163,361163,true,232353,232353,248402,248402,true,203643,203643,203643,203643,true,203643,203643,203643,203643,true,203643,203643,203643,203643,true,203643,203643,203643,203643
true,698004,698004,698004,698004,true,389052,389052,438928,438928,true,289055,290675,345648,345648,true,244205,245825,256878,256878,true,208973,208973,208973,208973,true,203826,203826,203826,203826
true,511680,511680,511680,511680,true,285056,285056,346723,346723,true,246480,246480,282520,282520,true,246480,246480,246480,246480,true,246480,246480,246480,246480,true,246480,246480,246480,246480
true,286090,286090,286090,286090,true,163646,178702,182677,182677,true,128555,129281,137410,137410,true,96371,96371,96371,96371,true,96371,96371,96371,96371,true,96371,96371,96371,96371
