BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7
true,356460,356460,356460,356460,true,275790,275790,275790,275790,true,275790,275790,275790,275790,true,275790,275790,275790,275790,true,275790,275790,275790,275790,true,275790,275790,275790,275790,true,275790,275790,275790,275790
true,306450,306450,306450,306450,true,181805,181805,233930,233930,true,173560,173560,175340,175340,true,173560,173560,173560,173560,true,173560,173560,173560,173560,true,173560,173560,173560,173560,true,173560,173560,173560,173560
true,232463,232463,232463,232463,true,118608,123305,138427,138427,true,82061,83566,99568,99568,true,68733,68733,68733,68733,true,68733,68733,68733,68733,true,68733,68733,68733,68733,true,68733,68733,68733,68733
true,228108,228108,228108,228108,true,136666,139048,158248,158248,true,105568,105568,110244,110244,true,105568,105568,105568,105568,true,105568,105568,105568,105568,true,105568,105568,105568,105568,true,105568,105568,105568,105568
true,455334,455334,455334,455334,true,253995,253995,284823,284823,true,193781,202191,216720,216720,true,187935,187935,187935,187935,true,187935,187935,187935,187935,true,187935,187935,187935,187935,true,187935,187935,187935,187935
true,254808,254808,254808,254808,true,143228,145662,150904,150904,true,128090,128090,138600,138600,true,128090,128090,128090,128090,true,128090,128090,128090,128090,true,128090,128090,128090,128090,true,128090,128090,128090,128090
true,181005,181005,181005,181005,true,107945,110430,110430,110430,true,100080,100080,100080,100080,true,100080,100080,100080,100080,true,100080,100080,100080,100080,true,100080,100080,100080,100080,true,100080,100080,100080,100080
true,237020,237020,237020,237020,true,147679,147679,155754,155754,true,113940,113940,122561,122561,true,113940,113940,113940,113940,true,113940,113940,113940,113940,true,113940,113940,113940,113940,true,113940,113940,113940,113940
true,554358,554358,554358,554358,true,365932,365932,365932,365932,true,300615,300615,303219,303219,true,261534,261534,261534,261534,true,261534,261534,261534,261534,true,261534,261534,261534,261534,true,261534,261534,261534,261534
true,221480,221480,221480,221480,true,132470,132470,148860,148860,true,123354,123354,123645,123645,true,123354,123354,123354,123354,true,123354,123354,123354,123354,true,123354,123354,123354,123354,true,123354,123354,123354,123354
